produto_id,nome,categoria,subcategoria,marca,preco_venda,custo,margem_percentual,stock_inicial
70,Razer Controller  20,Gaming,Controller,Razer,496.66,393.97,20.68,21
71,Kingston Controller Plus 14,Gaming,Controller,Kingston,500.84,403.21,19.49,13
72,Apple Controller Pro 24,Gaming,Controller,Apple,594.18,432.41,27.23,63
73,SanDisk Controller Max 17,Gaming,Controller,SanDisk,514.5,397.81,22.68,28
74,Xiaomi Consola Pro 23,Gaming,Consola,Xiaomi,566.8,384.24,32.21,38
75,HP Cadeira Gaming Pro 24,Gaming,Cadeira Gaming,HP,314.07,251.31,19.98,27
76,Razer Cadeira Gaming Lite 20,Gaming,Cadeira Gaming,Razer,499.27,325.73,34.76,66
77,LG Cadeira Gaming Plus 25,Gaming,Cadeira Gaming,LG,548.17,405.88,25.96,67
78,Lenovo Colunas Lite 25,Audio,Colunas,Lenovo,339.75,269.94,20.55,90
79,Dell Soundbar Plus 18,Audio,Soundbar,Dell,191.75,135.62,29.27,52
80,Asus Auriculares  14,Audio,Auriculares,Asus,80.2,64.46,19.63,37
81,Samsung Earbuds Max 11,Audio,Earbuds,Samsung,179.81,133.33,25.85,36
82,Kingston Earbuds  10,Audio,Earbuds,Kingston,173.11,120.49,30.4,83
83,Acer Earbuds Max 23,Audio,Earbuds,Acer,31.18,24.31,22.04,78
84,Logitech Colunas Max 10,Audio,Colunas,Logitech,209.64,166.75,20.46,59
85,Asus Earbuds Plus 10,Audio,Earbuds,Asus,296.95,202.49,31.81,60
86,LG Auriculares Max 15,Audio,Auriculares,LG,60.06,45.9,23.57,16
87,Lenovo Smart Bulb Ultra 22,Smart Home,Smart Bulb,Lenovo,124.11,94.21,24.09,45
88,Razer Smart Bulb Pro 11,Smart Home,Smart Bulb,Razer,104.59,87.19,16.64,54
89,Dell Smart Speaker Pro 17,Smart Home,Smart Speaker,Dell,242.12,174.24,28.04,35
90,Kingston Smart Speaker Max 13,Smart Home,Smart Speaker,Kingston,200.55,160.9,19.77,82
91,Dell Smart Bulb Plus 13,Smart Home,Smart Bulb,Dell,220.86,153.86,30.34,30
92,Lenovo Smart Speaker Lite 22,Smart Home,Smart Speaker,Lenovo,189.46,125.84,33.58,60
93,Logitech Smart Display  17,Smart Home,Smart Display,Logitech,58.76,41.83,28.81,23
94,Logitech Smart Plug Pro 11,Smart Home,Smart Plug,Logitech,260.08,189.84,27.01,54
95,Sony Smart Bulb  20,Smart Home,Smart Bulb,Sony,211.0,176.44,16.38,11
96,Kingston Cartão SD Ultra 24,Storage,Cartão SD,Kingston,415.5,344.4,17.11,29
97,Acer HDD Ultra 25,Storage,HDD,Acer,373.88,245.6,34.31,69
98,Acer Pen USB Pro 18,Storage,Pen USB,Acer,180.48,144.55,19.91,67
99,Dell Cartão SD Ultra 10,Storage,Cartão SD,Dell,296.83,212.64,28.36,73
100,Kingston Pen USB Ultra 20,Storage,Pen USB,Kingston,114.46,92.44,19.24,45
101,SanDisk Pen USB Plus 12,Storage,Pen USB,SanDisk,290.22,216.7,25.33,40
102,Logitech Cartão SD  25,Storage,Cartão SD,Logitech,258.63,180.62,30.16,72
103,Microsoft SSD  17,Storage,SSD,Microsoft,72.74,58.61,19.43,49
104,Xiaomi Pen USB Max 20,Storage,Pen USB,Xiaomi,251.43,187.02,25.62,55
105,Logitech Powerline Pro 16,Networking,Powerline,Logitech,143.82,115.02,20.03,50
106,Samsung Mesh WiFi Ultra 26,Networking,Mesh WiFi,Samsung,116.04,81.49,29.77,86
107,Lenovo Router Ultra 15,Networking,Router,Lenovo,340.42,269.19,20.92,48
108,Apple Mesh WiFi Lite 19,Networking,Mesh WiFi,Apple,145.01,95.0,34.49,26
109,Xiaomi Powerline Ultra 25,Networking,Powerline,Xiaomi,84.91,71.97,15.25,71
110,Microsoft Switch Max 13,Networking,Switch,Microsoft,113.53,95.33,16.03,18
111,Acer Powerline Pro 14,Networking,Powerline,Acer,74.93,54.26,27.59,29
112,Razer Switch Lite 23,Networking,Switch,Razer,78.81,63.08,19.96,87
113,LG Mesh WiFi Max 19,Networking,Mesh WiFi,LG,320.49,248.04,22.61,85
